REF_DATE,GEO,Institution type,Registration status,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,VALUE
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Social and behavioural sciences and law [4],Gender unknown,International students,0.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Business, management and public administration [5]",Male gender,Canadian students,15.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Business, management and public administration [5]",Male gender,International students,0.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Business, management and public administration [5]",Female gender,Canadian students,15.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Business, management and public administration [5]",Gender unknown,Canadian students,3.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Physical and life sciences and technologies [6],Male gender,Canadian students,90.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Physical and life sciences and technologies [6],Male gender,International students,129.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Physical and life sciences and technologies [6],Female gender,Canadian students,132.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Physical and life sciences and technologies [6],Female gender,International students,81.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Physical and life sciences and technologies [6],Gender unknown,Canadian students,12.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Physical and life sciences and technologies [6],Gender unknown,International students,6.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Mathematics, computer and information sciences [7]",Male gender,Canadian students,18.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Mathematics, computer and information sciences [7]",Male gender,International students,72.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Mathematics, computer and information sciences [7]",Female gender,Canadian students,6.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Mathematics, computer and information sciences [7]",Female gender,International students,81.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Mathematics, computer and information sciences [7]",Gender unknown,Canadian students,3.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Mathematics, computer and information sciences [7]",Gender unknown,International students,3.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Architecture, engineering and related technologies [8]",Male gender,Canadian students,30.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Architecture, engineering and related technologies [8]",Male gender,International students,42.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Architecture, engineering and related technologies [8]",Female gender,Canadian students,9.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Architecture, engineering and related technologies [8]",Female gender,International students,15.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Architecture, engineering and related technologies [8]",Gender unknown,Canadian students,3.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Agriculture, natural resources and conservation [9]",Male gender,Canadian students,6.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Agriculture, natural resources and conservation [9]",Male gender,International students,12.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Agriculture, natural resources and conservation [9]",Female gender,Canadian students,3.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Agriculture, natural resources and conservation [9]",Female gender,International students,12.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Agriculture, natural resources and conservation [9]",Gender unknown,Canadian students,3.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Health and related fields [10],Male gender,Canadian students,45.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Health and related fields [10],Male gender,International students,9.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Health and related fields [10],Female gender,Canadian students,114.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Health and related fields [10],Female gender,International students,12.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Health and related fields [10],Gender unknown,Canadian students,0.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Health and related fields [10],Gender unknown,International students,3.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Personal, protective and transportation services [11]",Male gender,Canadian students,39.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Personal, protective and transportation services [11]",Female gender,Canadian students,63.0
